dtg,cpu util%,mem util%
2020-04-08 12:53:22+00:00,1.96,27.0
2020-04-08 12:54:22+00:00,1.96,27.0
2020-04-08 12:55:22+00:00,1.96,27.0
2020-04-08 12:56:22+00:00,1.96,27.0
2020-04-08 12:57:22+00:00,1.96,27.0
2020-04-08 12:58:22+00:00,1.96,27.0
2020-04-08 12:59:21+00:00,1.96,27.0
2020-04-08 13:00:21+00:00,1.96,27.0
2020-04-08 13:01:21+00:00,1.96,27.0
2020-04-08 13:02:21+00:00,1.96,27.0
2020-04-08 13:03:20+00:00,1.96,27.0
2020-04-08 13:04:21+00:00,1.95,27.0
2020-04-08 13:05:21+00:00,1.95,27.0
2020-04-08 13:06:21+00:00,1.95,27.0
2020-04-08 13:07:21+00:00,1.95,27.0
2020-04-08 13:08:21+00:00,1.95,27.0
2020-04-08 13:09:21+00:00,1.95,27.0
2020-04-08 13:10:20+00:00,1.95,27.0
2020-04-08 13:11:20+00:00,1.95,27.0
2020-04-08 13:12:20+00:00,1.95,27.0
2020-04-08 13:13:20+00:00,1.95,27.0
2020-04-08 13:14:20+00:00,1.95,27.0
2020-04-08 13:15:20+00:00,1.95,27.0
2020-04-08 13:16:21+00:00,1.95,27.0
2020-04-08 13:17:21+00:00,1.95,27.0
2020-04-08 13:18:21+00:00,1.95,27.0
2020-04-08 13:19:21+00:00,1.95,27.0
2020-04-08 13:20:21+00:00,1.95,27.0
2020-04-08 13:21:21+00:00,1.95,27.0
2020-04-08 13:22:21+00:00,1.95,27.0
2020-04-08 13:23:21+00:00,1.95,27.0
